VARIETY,WELY,FROS,NATIVE,GUAISA,FLVE,ROPR,ROSU,DIND,POTR,ALIA,ATTA,DYAN,NEVA,STRO
Rose Jessica Light Pink 60cm,,,,400,,,,,200,,,,,400
Rose Jet Set Pink 60cm,,,,,500,,,,,,,,,
Rose Kahala Coral 50cm,600,500,,,400,,,,,,,,,
Rose Kahala Coral 60cm,200,500,400,,100,,,,,,,,,
Rose King's Cross Gold/Peach 50 cm,,,,,,,100,,,,,,,
Rose King's Cross Gold/Peach 60 cm,,,,,,,,,,,,,,
Rose La Perla Light Pink 50cm,,,200,,,,,,,,,,,
Rose La Perla Light Pink 60cm,,,200,,,,,,,,,,,
Rose Lady Eva Light Pink 50cm,,,,,,500,,,,,,,,
Rose Lady Eva Light Pink 60cm,,,,,,500,,,,,,,,
Rose Lemonade Green 50cm,,100,,,100,,,,,,,,,
Rose Lemonade Green 60cm,,100,,,100,,,,,,,,,
Rose Light Pink 40cm,,,,,,,,,,,,,,
Rose Light Pink 50cm,,,,,,,,,,,,,,
Rose Light Pink 60cm,,,,,,,,,,,,,,
Rose Lola Hot Pink 40cm,500,,,,,,,,,,,,,
Rose Lola Hot Pink 50 cm,300,500,200,,100,,200,300,200,,,,200,200
Rose Lola Hot Pink 60cm,300,500,200,,100,,,300,200,,,,100,400
Rose Lorraine Light Pink 50cm,,,,,,,,,,,,,,
Rose Lorraine Light Pink 60cm,,,,,,,,,,,,,,
Rose Luciano Light Pink 50cm,,500,,,,,,,,,,,200,
Rose Luciano Light Pink 60 cm,,500,,,,,,,,,,,200,
Rose Luxor 50cm ,,,,,,,,500,,,,,,
Rose Magic Times Red/White Bicolor 40 cm,,,,,,,,,,,100,,,
Rose Magic Times Red/White Bicolor 50 cm,,,,,100,,,,200,,,,,
Rose Magic Times Red/White Bicolor 60 cm,,,,,100,,,,,,,,,
Rose Malibu Pink 60cm,,,,,,,,,,,,,,
Rose Mandala Pink 50cm,,,,200,,,,,,,,,,200
Rose Mandala Pink 60cm,,,100,200,,,,,,,100,,,
Rose Mandarin X-pression Hot Pink 50cm,,,,,,,,,,,,,,200
Rose Mandarin X-pression Hot Pink 60cm,,,,,,,,,,,,,,
Rose Marzipan Beige 60cm,,,,,,,,200,,,,,,
Rose Mathilda Brown 50cm,,,,,,,,,,,,,,
Rose Mathilda Brown 60cm,,,,,,,,,,,,,,
Rose Menta Lavender 40cm,,,,,250,,,,,,,,,
Rose Menta Lavender 50cm,,,100,,300,,,,,,,,,
Rose Menta Lavender 60cm,,,100,,,,,,,,,,,
Rose Miss Piggy Orange/Pink 40cm,,,,,,400,,500,100,,500,,,
Rose Miss Piggy Orange/Pink 50cm,,,,,,1200,,1000,100,,500,,,
Rose Miss Piggy Orange/Pink 60cm,,,,,,,,1300,100,,400,,,
Rose Moab Beige,,,,,,3000,,,,,,,,
Rose Momentum Yellow 60cm,,,,500,,,,,,,,,,
Rose Mondial Cream 40cm,,,,,,,,,,,,,,
Rose Mondial Cream 50cm,500,500,,,,,100,200,,,,300,100,100
Rose Mondial Cream 60cm,500,500,400,,,,100,200,,,,800,200,100
Rose Mondial Cream 70cm,,125,200,,,,,,,,200,,,100
Rose Moody Blue Lavender 50cm,600,,,,,,,,,,,,,
Rose Moody Blue Lavender 60cm,600,,,,,,,,,,,,,600
Rose Moonstone White 50cm,,,,100,,,,,,100,,,,
Rose Moonstone White 60cm,,,,100,,,,,,,,,,
Rose Mother of Pearl Light Pink 50cm,800,,,,,,,,,,,,,
Rose Mother of Pearl Light Pink 60cm,800,,,,,,,,,,,,,
Rose Nautica Lavender 60cm,,,,,,,,,,,,,200,
Rose Nectarine Peach 50cm,,,400,,,,,,200,,,,,
Rose Nectarine Peach 60cm,,,400,,,,,,200,,,,,
Rose Nena Light Pink 40cm,,,,300,,,,,,,,,,
